   Canal       OSA      Porta 1     Erro      Porta 2     Erro      Porta 3     Erro      Porta 4     Erro    
     1        -26.9        0        -26.9     -26.32      -0.58     -25.93      -0.97     -26.22      -0.68   
     2       -27.61        0       -27.61     -26.44      -1.17     -26.23      -1.38     -26.33      -1.28   
     3        -26.7        0        -26.7     -25.97      -0.73     -25.62      -1.08     -25.82      -0.88   
     4       -26.58        0       -26.58     -25.75      -0.83     -25.42      -1.16     -25.64      -0.94   
     5       -26.97        0       -26.97     -26.03      -0.94     -25.81      -1.16     -25.78      -1.19   
     6       -25.94        0       -25.94     -25.51      -0.43     -24.98      -0.96      -25.3      -0.64   
     7       -26.44        0       -26.44     -25.28      -1.16     -25.04      -1.4      -25.14      -1.3    
     8       -26.43        0       -26.43     -25.96      -0.47     -25.43       -1        -25.8      -0.63   
     9       -25.77        0       -25.77      -24.9      -0.87     -24.57      -1.2      -24.75      -1.02   
    10       -24.95        0       -24.95     -24.06      -0.89     -23.63      -1.32     -23.85      -1.1    
    11       -24.75        0       -24.75     -23.97      -0.78     -23.84      -0.91     -23.89      -0.86   
    12       -25.56        0       -25.56     -24.73      -0.83     -24.39      -1.17     -24.49      -1.07   
    13       -25.52        0       -25.52     -24.74      -0.78     -24.42      -1.1      -24.47      -1.05   
    14       -25.25        0       -25.25     -24.49      -0.76      -24.1      -1.15      -24.2      -1.05   
    15       -24.93        0       -24.93     -24.11      -0.82     -23.87      -1.06     -23.88      -1.05   
    16       -24.59        0       -24.59     -24.01      -0.58     -23.61      -0.98     -23.74      -0.85   
    17       -25.18        0       -25.18     -24.43      -0.75     -24.08      -1.1      -24.38      -0.8    
    18       -24.97        0       -24.97     -24.39      -0.58       -24       -0.97     -24.16      -0.81   
    19       -24.44     -23.64      -0.8       -23.8      -0.64     -23.45      -0.99     -23.51      -0.93   
    20       -24.86        0       -24.86     -24.08      -0.78     -23.75      -1.11     -24.11      -0.75   
    21       -24.34     -23.61      -0.73     -23.66      -0.68     -23.34       -1       -23.53      -0.81   
    22       -24.92        0       -24.92     -24.04      -0.88     -23.94      -0.98      -23.9      -1.02   
    23       -24.85        0       -24.85     -24.24      -0.61     -23.91      -0.94     -24.03      -0.82   
    24       -24.62        0       -24.62     -23.85      -0.77     -23.61      -1.01     -23.92      -0.7    
    25       -25.19        0       -25.19     -24.57      -0.62     -24.21      -0.98     -24.34      -0.85   
    26       -25.17        0       -25.17     -24.44      -0.73     -24.18      -0.99     -24.53      -0.64   
    27       -24.88        0       -24.88     -24.07      -0.81     -24.05      -0.83     -23.98      -0.9    
    28       -24.89        0       -24.89      -24.5      -0.39      -24.2      -0.69     -24.13      -0.76   
    29       -25.48        0       -25.48     -24.82      -0.66     -24.61      -0.87     -24.49      -0.99   
    30       -25.43        0       -25.43     -24.74      -0.69     -24.46      -0.97      -24.9      -0.53   
    31       -24.93        0       -24.93     -24.16      -0.77     -23.89      -1.04     -24.12      -0.81   
    32       -25.59        0       -25.59     -24.87      -0.72     -24.62      -0.97     -24.92      -0.67   
    33       -30.59        0       -30.59     -29.67      -0.92     -29.44      -1.15     -29.72      -0.87   
    34       -25.07        0       -25.07     -24.34      -0.73     -24.61      -0.46      -24.3      -0.77   
    35       -25.66        0       -25.66     -25.04      -0.62     -24.77      -0.89     -24.81      -0.85   
    36        -26.8        0        -26.8       -26       -0.8      -27.77      0.97      -26.07      -0.73   
    37       -27.46        0       -27.46     -27.02      -0.44      -26.8      -0.66     -26.67      -0.79   
    38         -27         0         -27      -26.36      -0.64     -26.13      -0.87      -26.2      -0.8    
    39       -27.61        0       -27.61     -27.13      -0.48     -26.81      -0.8      -26.85      -0.76   
    40       -26.07        0       -26.07     -25.41      -0.66     -25.18      -0.89     -25.32      -0.75   
